payment_method_id,payment_type
579,card
580,upi
581,upi
582,upi
583,upi
584,upi
585,upi
586,upi
587,wallet
588,card
589,upi
590,card
591,netbanking
592,upi
593,upi
594,netbanking
595,upi
596,card
597,upi
598,card
599,netbanking
600,upi
601,upi
602,netbanking
603,upi
604,upi
605,card
606,card
607,wallet
608,wallet
609,upi
610,card
611,card
612,netbanking
613,card
614,upi
615,card
616,card
617,upi
618,wallet
619,upi
620,upi
621,upi
622,netbanking
623,upi
624,upi
625,upi
626,card
627,card
628,netbanking
629,upi
630,card
631,card
632,wallet
633,upi
634,upi
635,card
636,wallet
637,netbanking
638,upi
639,card
640,upi
641,netbanking
642,upi
643,wallet
644,upi
645,card
646,upi
647,netbanking
648,card
649,card
650,upi
651,upi
652,netbanking
653,card
654,card
655,card
656,upi
657,upi
658,upi
659,upi
660,card
661,upi
662,wallet
663,upi
664,card
665,upi
666,card
667,card
668,card
669,card
670,card
671,upi
672,card
673,upi
674,wallet
675,upi
676,upi
677,upi
678,card
679,upi
680,upi
681,netbanking
682,netbanking
683,netbanking
684,upi
685,upi
686,netbanking
687,netbanking
688,upi
689,wallet
690,netbanking
691,upi
692,card
693,card
694,upi
695,card
696,upi
697,upi
698,netbanking
699,netbanking
700,upi
701,upi
702,card
703,upi
704,card
705,upi
706,wallet
707,upi
708,upi
709,upi
710,netbanking
711,upi
712,upi
713,card
714,upi
715,card
716,upi
717,upi
718,card
719,upi
720,card
721,card
722,card
723,card
724,wallet
725,wallet
726,upi
727,upi
728,upi
729,netbanking
730,upi
731,card
732,upi
733,wallet
734,card
735,upi
736,card
737,upi
738,upi
739,card
740,wallet
741,upi
742,card
743,netbanking
744,upi
745,upi
746,upi
747,netbanking
748,upi
749,card
750,card
751,card
752,upi
753,card
754,upi
755,upi
756,netbanking
757,upi
758,wallet
759,netbanking
760,card
761,upi
762,card
763,netbanking
764,upi
765,card
766,card
767,upi
768,netbanking
769,upi
770,card
771,card
772,upi
773,upi
774,card
775,card
776,netbanking
777,upi
778,upi
779,upi
780,upi
781,upi
782,card
783,card
784,wallet
785,netbanking
786,upi
787,card
788,card
789,card
790,wallet
791,netbanking
792,upi
793,wallet
794,card
795,upi
796,card
797,card
798,wallet
799,netbanking
800,card
801,card
802,upi
803,card
804,upi
805,upi
806,card
807,card
808,card
809,wallet
810,upi
811,upi
812,card
813,upi
814,card
815,card
816,upi
817,upi
818,card
819,card
820,wallet
821,card
822,card
823,upi
824,card
825,upi
826,upi
827,upi
828,upi
829,upi
830,upi
831,card
832,card
833,upi
834,card
835,card
836,card
837,upi
838,card
839,upi
840,upi
841,upi
842,card
843,netbanking
844,card
845,netbanking
846,upi
847,card
848,upi
849,upi
850,upi
851,upi
852,upi
853,upi
854,netbanking
855,card
856,upi
857,upi
858,upi
859,upi
860,upi
861,upi
862,card
863,card
864,upi
865,card
866,card
867,card
868,upi
869,wallet
870,upi
871,card
872,netbanking
873,card
874,wallet
875,upi
876,card
877,upi
878,card
879,upi
880,card
881,netbanking
882,upi
883,netbanking
884,netbanking
885,card
886,upi
887,netbanking
888,card
889,card
890,card
891,card
892,netbanking
893,upi
894,upi
895,wallet
896,card
897,upi
898,card
899,card
900,card
901,card
902,upi
903,upi
904,card
905,card
906,upi
907,card
908,netbanking
909,wallet
910,upi
911,upi
912,upi
913,upi
914,wallet
915,wallet
916,upi
917,upi
918,netbanking
919,card
920,upi
921,upi
922,upi
923,card
924,card
925,card
926,upi
927,netbanking
928,netbanking
929,card
930,card
931,upi
932,upi
933,upi
934,upi
935,card
936,upi
937,upi
938,card
939,netbanking
940,upi
941,wallet
942,upi
943,upi
944,wallet
945,wallet
946,wallet
947,netbanking
948,upi
949,card
950,upi
951,wallet
952,card
953,upi
954,wallet
955,wallet
956,wallet
957,upi
958,upi
959,wallet
960,card
961,card
962,wallet
963,upi
964,upi
965,card
966,upi
967,wallet
968,upi
969,upi
970,upi
971,netbanking
972,netbanking
973,upi
974,upi
975,card
976,upi
977,card
978,upi
979,upi
980,card
981,card
982,card
983,card
984,upi
985,card
986,card
987,wallet
988,card
989,netbanking
990,upi
991,upi
992,upi
993,card
994,netbanking
995,netbanking
996,card
997,upi
998,upi
999,netbanking
1000,netbanking
1001,card
1002,netbanking
1003,wallet
1004,upi
1005,card
1006,netbanking
1007,upi
1008,card
1009,netbanking
1010,upi
1011,netbanking
1012,upi
1013,card
1014,wallet
1015,upi
1016,upi
1017,upi
1018,card
1019,upi
1020,upi
1021,wallet
1022,wallet
1023,upi
1024,card
1025,upi
1026,card
1027,netbanking
1028,upi
1029,wallet
1030,card
1031,card
1032,wallet
1033,upi
1034,netbanking
1035,netbanking
1036,upi
1037,upi
1038,upi
1039,netbanking
1040,wallet
1041,card
1042,upi
1043,card
1044,upi
1045,netbanking
1046,netbanking
1047,upi
1048,card
1049,card
1050,card
1051,card
1052,netbanking
1053,upi
1054,card
1055,upi
1056,card
1057,card
1058,wallet
1059,card
1060,upi
1061,upi
1062,card
1063,card
1064,card
1065,card
1066,netbanking
1067,upi
1068,upi
1069,upi
1070,wallet
1071,card
1072,netbanking
1073,card
1074,wallet
1075,card
1076,card
1077,upi
1078,card
1079,upi
1080,upi
1081,upi
1082,card
1083,upi
1084,card
1085,wallet
1086,upi
1087,upi
1088,netbanking
1089,upi
1090,upi
1091,card
1092,upi
1093,card
1094,card
1095,netbanking
1096,card
1097,upi
1098,card
1099,upi
1100,netbanking
1101,card
1102,upi
1103,upi
1104,netbanking
1105,card
1106,upi
1107,upi
1108,upi
1109,card
1110,upi
1111,upi
1112,card
1113,upi
1114,upi
1115,upi
1116,card
1117,card
1118,upi
1119,upi
1120,netbanking
1121,upi
1122,upi
1123,card
1124,wallet
1125,card
1126,card
1127,card
1128,card
1129,upi
1130,card
1131,card
1132,card
1133,wallet
1134,upi
1135,wallet
1136,netbanking
1137,netbanking
1138,upi
1139,card
1140,card
1141,card
1142,upi
1143,card
1144,card
1145,upi
1146,card
1147,card
1148,card
1149,upi
1150,card
1151,card
1152,card
1153,upi
1154,card
1155,card
1156,netbanking
1157,netbanking
1158,card
1159,card
1160,card
1161,upi
1162,card
1163,wallet
1164,netbanking
1165,upi
1166,card
1167,netbanking
1168,upi
1169,upi
1170,card
1171,upi
1172,netbanking
1173,wallet
1174,upi
1175,upi
1176,upi
1177,upi
1178,wallet
1179,upi
1180,card
1181,card
1182,upi
1183,netbanking
1184,card
1185,upi
1186,wallet
1187,upi
1188,card
1189,card
1190,upi
1191,card
1192,upi
1193,upi
1194,upi
1195,upi
1196,card
1197,card
1198,card
1199,card
1200,upi
1201,card
1202,upi
1203,card
1204,card
1205,card
1206,upi
1207,upi
1208,netbanking
1209,card
1210,upi
1211,upi
1212,card
1213,card
1214,card
1215,card
1216,netbanking
1217,card
1218,upi
1219,upi
1220,card
1221,upi
1222,card
1223,upi
1224,card
1225,card
1226,card
1227,upi
1228,upi
1229,upi
1230,card
1231,wallet
1232,card
1233,netbanking
1234,upi
1235,upi
1236,upi
1237,upi
1238,upi
1239,card
1240,upi
1241,card
1242,upi
1243,upi
1244,netbanking
1245,upi
1246,card
1247,upi
1248,card
1249,upi
1250,upi
1251,upi
1252,card
1253,card
1254,upi
1255,card
1256,card
1257,card
1258,upi
1259,card
1260,upi
1261,netbanking
1262,upi
1263,card
1264,card
1265,card
1266,upi
1267,upi
1268,card
1269,card
1270,card
1271,card
1272,wallet
1273,card
1274,card
1275,card
1276,card
1277,card
1278,upi
1279,card
1280,card
1281,upi
1282,upi
1283,card
1284,netbanking
1285,card
1286,wallet
1287,wallet
1288,upi
1289,card
1290,netbanking
1291,card
1292,card
1293,upi
1294,upi
1295,netbanking
1296,upi
1297,netbanking
1298,upi
1299,upi
1300,upi
1301,wallet
1302,wallet
1303,netbanking
1304,upi
1305,upi
1306,card
1307,netbanking
1308,card
1309,card
1310,upi
1311,upi
1312,upi
1313,card
1314,card
1315,card
1316,card
1317,card
1318,upi
1319,card
1320,card
1321,card
1322,upi
1323,netbanking
1324,card
1325,card
1326,upi
1327,card
1328,netbanking
1329,wallet
1330,upi
1331,wallet
1332,upi
1333,upi
1334,card
1335,card
1336,card
1337,upi
1338,upi
1339,card
1340,upi
1341,card
1342,card
1343,card
1344,upi
1345,upi
1346,upi
1347,card
1348,upi
1349,wallet
1350,card
1351,upi
1352,card
1353,card
1354,upi
1355,card
1356,upi
1357,wallet
1358,card
1359,card
1360,netbanking
1361,upi
1362,netbanking
1363,card
1364,upi
1365,wallet
1366,card
1367,netbanking
1368,upi
1369,netbanking
1370,card
1371,upi
1372,card
1373,wallet
1374,card
1375,card
1376,netbanking
1377,card
1378,upi
1379,card
1380,upi
1381,card
1382,upi
1383,upi
1384,card
1385,card
1386,card
1387,upi
1388,card
1389,card
1390,card
1391,upi
1392,upi
1393,upi
1394,netbanking
1395,upi
1396,netbanking
1397,upi
1398,card
1399,wallet
1400,upi
1401,upi
1402,card
1403,card
1404,upi
1405,upi
1406,upi
1407,card
1408,upi
1409,card
1410,card
1411,card
1412,netbanking
1413,upi
1414,wallet
1415,upi
1416,upi
1417,upi
1418,netbanking
1419,wallet
1420,upi
1421,card
1422,upi
1423,card
1424,card
1425,upi
1426,netbanking
1427,card
1428,card
1429,netbanking
1430,card
1431,card
1432,upi
1433,netbanking
1434,upi
1435,upi
1436,card
1437,card
1438,upi
1439,netbanking
1440,card
1441,card
1442,card
1443,card
1444,card
1445,card
1446,upi
1447,card
1448,upi
1449,upi
1450,netbanking
1451,wallet
1452,card
1453,card
1454,upi
1455,card
1456,card
1457,card
1458,netbanking
1459,card
1460,upi
1461,upi
1462,upi
1463,card
1464,netbanking
1465,upi
1466,upi
1467,card
1468,netbanking
1469,upi
1470,upi
1471,card
1472,card
1473,card
1474,card
1475,card
1476,card
1477,netbanking
1478,upi
1479,netbanking
1480,upi
1481,upi
1482,card
1483,upi
1484,card
1485,upi
1486,wallet
1487,netbanking
1488,card
1489,upi
1490,card
1491,card
1492,card
1493,card
1494,upi
1495,card
1496,card
1497,wallet
1498,upi
1499,upi
1500,upi
1501,upi
1502,upi
1503,upi
1504,netbanking
1505,card
1506,upi
1507,card
1508,netbanking
1509,card
1510,card
1511,wallet
1512,upi
1513,card
1514,card
1515,card
1516,wallet
1517,upi
1518,card
1519,upi
1520,upi
1521,card
1522,netbanking
1523,card
1524,netbanking
1525,upi
1526,card
1527,upi
1528,upi
1529,upi
1530,upi
1531,card
1532,card
1533,upi
1534,card
1535,card
1536,upi
1537,card
1538,upi
1539,netbanking
1540,netbanking
1541,card
1542,upi
1543,netbanking
1544,card
1545,upi
1546,upi
1547,card
1548,card
1549,upi
1550,card
1551,netbanking
1552,upi
1553,card
1554,upi
1555,upi
1556,card
1557,wallet
1558,upi
1559,upi
1560,netbanking
1561,upi
1562,upi
1563,card
1564,card
1565,upi
1566,upi
1567,upi
1568,upi
1569,upi
1570,netbanking
1571,wallet
1572,card
1573,netbanking
1574,netbanking
1575,card
1576,card
1577,card
1578,upi
1579,upi
1580,upi
1581,upi
1582,card
1583,upi
1584,netbanking
1585,wallet
1586,upi
1587,card
1588,card
1589,card
1590,upi
1591,card
1592,netbanking
1593,upi
1594,upi
1595,card
1596,upi
1597,upi
1598,upi
1599,card
1600,netbanking
1601,card
1602,card
1603,wallet
1604,card
1605,card
1606,upi
1607,upi
1608,card
1609,card
1610,card
1611,upi
1612,card
1613,upi
1614,netbanking
1615,card
1616,card
1617,card
1618,card
1619,card
1620,upi
1621,card
1622,upi
1623,upi
1624,netbanking
1625,card
1626,card
1627,wallet
1628,card
1629,upi
1630,upi
1631,upi
1632,card
1633,card
1634,upi
1635,upi
1636,upi
1637,upi
1638,netbanking
1639,wallet
1640,upi
1641,card
1642,upi
1643,upi
1644,upi
1645,card
1646,upi
1647,card
1648,card
1649,netbanking
1650,upi
1651,upi
1652,upi
1653,upi
1654,card
1655,upi
1656,card
1657,upi
1658,card
1659,wallet
1660,upi
1661,upi
1662,card
1663,upi
1664,upi
1665,upi
1666,upi
1667,netbanking
1668,upi
1669,upi
1670,upi
1671,upi
1672,upi
1673,upi
1674,card
1675,card
1676,card
1677,wallet
1678,upi
1679,card
1680,upi
1681,upi
1682,netbanking
1683,wallet
1684,netbanking
1685,netbanking
1686,card
1687,card
1688,upi
1689,upi
1690,card
1691,upi
1692,card
1693,card
1694,card
1695,netbanking
1696,upi
1697,upi
1698,netbanking
1699,netbanking
1700,upi
1701,upi
1702,card
1703,upi
1704,card
1705,upi
1706,upi
1707,card
1708,upi
1709,upi
1710,upi
1711,card
1712,card
1713,card
1714,netbanking
1715,netbanking
1716,card
1717,upi
1718,upi
1719,wallet
1720,card
1721,upi
1722,upi
1723,card
1724,card
1725,card
1726,upi
1727,upi
1728,upi
1729,card
1730,netbanking
1731,card
1732,wallet
1733,card
1734,netbanking
1735,netbanking
1736,netbanking
1737,netbanking
1738,card
1739,upi
1740,upi
1741,upi
1742,wallet
1743,card
1744,upi
1745,netbanking
1746,card
1747,card
1748,card
1749,upi
1750,netbanking
1751,card
1752,upi
1753,upi
1754,upi
1755,upi
1756,wallet
1757,card
1758,card
1759,upi
1760,upi
1761,upi
1762,card
1763,card
1764,wallet
1765,card
1766,upi
1767,upi
1768,card
1769,card
1770,card
1771,upi
1772,card
1773,upi
1774,card
1775,card
1776,card
1777,card
1778,card
1779,wallet
1780,card
1781,upi
1782,upi
1783,upi
1784,upi
1785,card
1786,upi
1787,card
1788,upi
1789,card
1790,upi
1791,upi
1792,upi
1793,card
1794,upi
1795,upi
1796,upi
1797,card
1798,card
1799,card
1800,upi
1801,upi
1802,upi
1803,upi
1804,upi
1805,upi
1806,upi
1807,upi
1808,card
1809,netbanking
1810,wallet
1811,upi
1812,wallet
1813,wallet
1814,upi
1815,upi
1816,upi
1817,card
1818,card
1819,upi
1820,upi
1821,card
1822,upi
1823,upi
1824,upi
1825,card
1826,upi
1827,card
1828,card
1829,card
1830,card
1831,card
1832,upi
1833,upi
1834,card
1835,netbanking
1836,upi
1837,wallet
1838,upi
1839,card
1840,netbanking
1841,netbanking
1842,upi
1843,upi
1844,upi
1845,upi
1846,upi
1847,upi
1848,card
1849,card
1850,card
1851,card
1852,card
1853,netbanking
1854,card
1855,card
1856,card
1857,upi
1858,upi
1859,upi
1860,wallet
1861,wallet
1862,netbanking
1863,netbanking
1864,card
1865,upi
1866,card
1867,upi
1868,card
1869,card
1870,card
1871,upi
1872,upi
1873,card
1874,upi
1875,card
1876,upi
1877,card
1878,card
1879,upi
1880,upi
1881,netbanking
1882,upi
1883,wallet
1884,card
1885,upi
1886,wallet
1887,card
1888,upi
1889,card
1890,upi
1891,card
1892,upi
1893,upi
1894,card
1895,card
1896,card
1897,card
1898,upi
1899,wallet
1900,card
1901,upi
1902,upi
1903,card
1904,card
1905,upi
1906,upi
1907,netbanking
1908,upi
1909,upi
1910,netbanking
1911,netbanking
1912,wallet
1913,card
1914,wallet
1915,netbanking
1916,upi
1917,upi
1918,wallet
1919,upi
1920,upi
1921,upi
1922,upi
1923,upi
1924,card
1925,card
1926,upi
1927,upi
1928,upi
1929,netbanking
1930,upi
1931,upi
1932,card
1933,upi
1934,netbanking
1935,upi
1936,netbanking
1937,wallet
1938,card
1939,upi
1940,upi
1941,upi
1942,card
1943,card
1944,card
1945,upi
1946,card
1947,upi
1948,upi
1949,upi
1950,netbanking
1951,upi
1952,card
1953,wallet
1954,netbanking
1955,upi
1956,upi
1957,card
1958,upi
1959,card
1960,upi
1961,card
1962,upi
1963,card
1964,card
1965,card
1966,upi
1967,card
1968,upi
1969,card
1970,upi
1971,card
1972,wallet
1973,card
1974,card
1975,card
1976,card
1977,upi
1978,card
1979,netbanking
1980,upi
1981,card
1982,upi
1983,card
1984,card
1985,card
1986,card
1987,card
1988,wallet
1989,upi
1990,wallet
1991,card
1992,netbanking
1993,card
1994,card
1995,netbanking
1996,card
1997,upi
1998,netbanking
1999,upi
2000,upi
2001,card
2002,card
2003,wallet
2004,card
2005,card
2006,card
2007,netbanking
2008,upi
2009,upi
2010,wallet
2011,card
2012,netbanking
2013,card
2014,upi
2015,card
2016,wallet
2017,netbanking
2018,upi
2019,card
2020,card
2021,upi
2022,card
2023,card
2024,upi
2025,upi
2026,netbanking
2027,upi
2028,card
2029,upi
2030,card
2031,upi
2032,upi
2033,card
2034,card
2035,netbanking
2036,upi
2037,upi
2038,upi
2039,upi
2040,card
2041,netbanking
2042,wallet
2043,card
2044,card
2045,upi
2046,upi
2047,upi
2048,upi
2049,upi
2050,upi
2051,card
2052,card
2053,upi
2054,wallet
2055,upi
2056,card
2057,netbanking
2058,upi
2059,upi
2060,card
2061,upi
2062,upi
2063,upi
2064,card
2065,upi
2066,card
2067,wallet
2068,card
2069,upi
2070,upi
2071,card
2072,card
2073,card
2074,upi
2075,wallet
2076,upi
2077,wallet
2078,card
2079,upi
2080,netbanking
2081,netbanking
2082,card
2083,upi
2084,netbanking
2085,upi
2086,upi
2087,card
2088,card
2089,upi
2090,upi
2091,card
2092,card
2093,upi
2094,upi
2095,upi
2096,upi
2097,card
2098,netbanking
2099,upi
2100,card
2101,upi
2102,upi
2103,upi
2104,upi
2105,upi
2106,upi
2107,card
2108,card
2109,card
2110,upi
2111,upi
2112,upi
2113,card
2114,upi
2115,card
2116,upi
2117,upi
2118,card
2119,card
2120,upi
2121,upi
2122,card
2123,wallet
2124,wallet
2125,netbanking
2126,card
2127,upi
2128,card
2129,netbanking
2130,upi
2131,card
2132,card
2133,netbanking
2134,netbanking
2135,upi
2136,upi
2137,upi
2138,netbanking
2139,upi
2140,upi
2141,upi
2142,netbanking
2143,card
2144,upi
2145,card
2146,upi
2147,upi
2148,card
2149,upi
2150,card
2151,netbanking
2152,netbanking
2153,upi
2154,upi
2155,card
2156,netbanking
2157,upi
2158,card
2159,wallet
2160,card
2161,upi
2162,card
2163,upi
2164,card
2165,card
2166,upi
2167,wallet
2168,card
2169,upi
2170,upi
2171,netbanking
2172,card
2173,upi
2174,wallet
2175,card
2176,upi
2177,netbanking
2178,card
2179,upi
2180,card
2181,netbanking
2182,wallet
2183,upi
2184,upi
2185,upi
2186,card
2187,card
2188,card
2189,card
2190,upi
2191,card
2192,card
2193,upi
2194,card
2195,card
2196,card
2197,card
2198,upi
2199,upi
2200,netbanking
2201,upi
2202,upi
2203,netbanking
2204,upi
2205,upi
2206,upi
2207,card
2208,card
2209,card
2210,upi
2211,card
2212,upi
2213,netbanking
2214,upi
2215,card
2216,upi
2217,card
2218,wallet
2219,upi
2220,upi
2221,upi
2222,upi
2223,upi
2224,card
2225,card
2226,card
2227,upi
2228,netbanking
2229,upi
2230,upi
2231,wallet
2232,card
2233,card
2234,netbanking
2235,netbanking
2236,upi
2237,card
2238,wallet
2239,upi
2240,upi
2241,card
2242,upi
2243,netbanking
2244,netbanking
2245,upi
2246,upi
2247,upi
2248,upi
2249,upi
2250,card
2251,card
2252,upi
2253,card
2254,card
2255,netbanking
2256,upi
2257,card
2258,card
2259,upi
2260,upi
2261,upi
2262,upi
2263,card
2264,upi
2265,card
2266,upi
2267,card
2268,card
2269,card
2270,netbanking
2271,card
2272,card
2273,card
2274,upi
2275,upi
2276,wallet
2277,upi
2278,upi
2279,upi
2280,card
2281,wallet
2282,wallet
2283,card
2284,upi
2285,card
2286,upi
2287,upi
2288,wallet
2289,card
2290,upi
2291,upi
2292,card
2293,upi
2294,upi
2295,upi
2296,wallet
2297,card
2298,card
2299,card
2300,card
2301,upi
2302,netbanking
2303,upi
2304,upi
2305,card
2306,card
2307,netbanking
2308,upi
2309,card
2310,netbanking
2311,upi
2312,card
2313,upi
2314,upi
2315,card
2316,netbanking
2317,upi
2318,upi
2319,netbanking
2320,upi
2321,upi
2322,card
2323,card
2324,upi
2325,card
2326,upi
2327,card
2328,card
2329,upi
2330,card
2331,upi
2332,upi
2333,card
2334,card
2335,upi
2336,card
2337,upi
2338,upi
2339,upi
2340,upi
2341,wallet
2342,card
2343,netbanking
2344,netbanking
2345,upi
2346,card
2347,card
2348,wallet
2349,card
2350,netbanking
2351,upi
2352,upi
2353,upi
2354,card
2355,upi
2356,wallet
2357,card
2358,wallet
2359,wallet
2360,card
2361,upi
2362,card
2363,upi
2364,wallet
2365,netbanking
2366,wallet
2367,card
2368,upi
2369,card
2370,netbanking
2371,card
2372,card
2373,card
2374,card
2375,card
2376,card
2377,netbanking
2378,upi
2379,card
2380,upi
2381,upi
2382,upi
2383,card
2384,upi
2385,upi
2386,card
2387,upi
2388,upi
2389,upi
2390,card
2391,upi
2392,upi
2393,card
2394,card
2395,card
2396,card
2397,card
2398,card
2399,upi
2400,upi
2401,upi
2402,upi
2403,upi
2404,wallet
2405,upi
2406,upi
2407,card
2408,upi
2409,upi
2410,upi
2411,upi
2412,netbanking
2413,wallet
2414,upi
2415,wallet
2416,netbanking
2417,card
2418,upi
2419,card
2420,card
2421,card
2422,upi
2423,card
2424,card
2425,card
2426,upi
2427,netbanking
2428,wallet
2429,upi
2430,card
2431,netbanking
2432,card
2433,wallet
2434,upi
2435,upi
2436,card
2437,card
2438,upi
2439,upi
2440,netbanking
2441,upi
2442,upi
2443,card
2444,upi
2445,card
2446,upi
2447,upi
2448,netbanking
2449,upi
2450,card
2451,netbanking
2452,upi
2453,upi
2454,upi
2455,netbanking
2456,card
2457,upi
2458,upi
2459,card
2460,netbanking
2461,card
2462,card
2463,card
2464,netbanking
2465,upi
2466,card
2467,card
2468,card
2469,card
2470,upi
2471,card
2472,card
2473,card
2474,upi
2475,upi
2476,upi
2477,upi
2478,wallet
2479,upi
2480,netbanking
2481,upi
2482,card
2483,netbanking
2484,upi
2485,upi
2486,card
2487,upi
2488,netbanking
2489,card
2490,card
2491,card
2492,upi
2493,netbanking
2494,upi
2495,netbanking
2496,upi
2497,upi
2498,card
2499,card
2500,upi
2501,card
2502,card
2503,netbanking
2504,upi
2505,card
2506,upi
2507,upi
2508,netbanking
2509,upi
2510,card
2511,card
2512,card
2513,upi
2514,upi
2515,upi
2516,upi
2517,card
2518,card
2519,card
2520,upi
2521,upi
2522,wallet
2523,card
2524,upi
2525,card
