transaction_id,account_id,device_id,ip_id,payment_method_id,merchant_id,promotion_id,amount,timestamp,transaction_status,is_fraud,fraud_cluster_id
34,12547,1443,1843,2030,21,185,566.07,2026-03-31 21:24:16,success,0,-1
35,10847,340,754,4093,1,315,386.26,2026-02-16 07:42:13,success,1,53
36,713,4297,2747,393,97,181,555.27,2026-03-03 20:57:54,success,0,-1
37,10483,309,3592,6720,30,198,1234.09,2026-01-09 13:20:50,success,0,-1
38,4253,849,649,4004,31,129,116.36,2026-02-18 19:32:13,success,0,-1
39,3204,1358,2507,870,92,374,508.86,2026-03-01 13:51:32,success,0,-1
40,17167,27,1588,2530,12,486,1930.37,2026-03-17 17:04:53,success,0,-1
41,5421,4578,2076,5615,21,144,1134.72,2026-03-03 01:37:04,success,0,-1
42,12310,541,3275,4079,35,81,1034.56,2026-02-21 05:10:04,success,0,-1
43,17344,3191,1819,4164,64,65,500.86,2026-03-06 17:59:04,success,0,-1
44,11958,2214,2798,2514,50,25,984.34,2026-02-01 10:35:41,success,0,-1
45,15600,4240,460,84,100,166,953.47,2026-03-20 19:52:24,success,0,-1
46,16959,3728,2449,757,49,497,578.55,2026-02-15 11:19:03,success,1,23
47,8949,4421,4921,6954,3,96,442.36,2026-01-21 08:32:27,failed,0,-1
48,18436,3488,2042,5928,26,488,1733.37,2026-03-25 16:21:30,success,0,-1
49,18181,4122,1270,4897,24,2,1539.48,2026-02-28 11:30:44,success,0,-1
50,6755,2805,3995,5853,79,93,1883.45,2026-01-14 00:17:34,success,0,-1
51,16384,404,1712,9859,50,147,5358.66,2026-03-16 07:18:29,success,0,-1
52,3661,3174,4973,3877,94,266,711.54,2026-03-24 21:39:34,success,0,-1
53,2242,1909,418,2451,14,84,262.35,2026-03-28 10:11:40,success,0,-1
54,10601,585,2091,9398,54,55,982.72,2026-02-22 23:44:40,success,0,-1
55,12119,2185,2761,3704,21,359,400.28,2026-01-12 23:35:00,failed,0,-1
56,11671,2196,605,6139,36,106,218.0,2026-02-02 04:23:50,success,0,-1
57,15977,4974,3136,6773,39,98,64.39,2026-02-24 22:40:22,success,0,-1
58,7819,3549,4867,7675,79,477,1600.53,2026-02-07 00:44:59,success,0,-1
59,16167,3892,1761,4086,8,155,1910.02,2026-01-03 08:06:33,success,0,-1
60,18043,1622,654,8542,17,316,801.97,2026-02-21 06:30:59,success,0,-1
61,1827,2160,3741,6771,92,492,509.18,2026-03-07 09:30:48,success,0,-1
62,8985,1287,2555,8482,72,333,528.49,2026-02-19 14:34:35,failed,0,-1
63,4493,2576,418,3902,97,147,921.92,2026-02-07 12:26:59,success,0,-1
64,13130,1380,780,4164,48,116,287.18,2026-02-17 00:57:53,success,0,-1
65,8261,1543,4538,6753,93,160,626.58,2026-02-17 13:20:00,success,0,-1
66,5633,1896,4919,3256,50,300,1516.72,2026-02-09 15:56:16,success,0,-1
67,5033,4745,863,2237,35,495,714.51,2026-01-02 04:10:16,success,0,-1
68,7095,19,155,3284,33,155,868.19,2026-01-09 09:40:57,success,0,-1
69,2179,4333,2727,5320,16,216,291.81,2026-03-09 16:59:31,success,0,-1
70,13786,4527,1226,2033,73,98,185.59,2026-02-16 04:40:58,success,1,85
71,12577,1254,584,1609,15,260,312.36,2026-03-04 00:16:12,success,0,-1
72,18856,1030,1676,615,4,55,532.65,2026-02-22 11:34:14,success,0,-1
73,10150,1296,877,94,85,170,1605.08,2026-01-14 11:21:58,success,0,-1
74,18548,4284,4297,7175,78,235,631.66,2026-02-10 06:40:27,success,0,-1
75,3100,748,578,4977,9,42,1002.39,2026-01-08 19:07:59,success,0,-1
76,19465,281,219,7046,7,485,903.75,2026-03-02 00:25:38,success,0,-1
77,11728,783,1572,8662,23,43,673.59,2026-01-11 18:12:17,success,0,-1
78,2824,2969,3807,1842,73,148,948.15,2026-02-15 10:19:42,success,1,32
79,1241,3413,1368,5386,16,264,453.23,2026-03-30 10:16:14,success,0,-1
80,12082,2717,302,2856,1,174,293.44,2026-02-22 18:46:41,success,0,-1
81,7661,2432,2918,7298,95,142,2325.49,2026-02-12 18:56:29,success,0,-1
82,17970,723,2660,4072,69,358,798.84,2026-03-16 14:02:53,success,0,-1
83,15851,3797,2863,6506,31,340,1659.96,2026-03-24 20:53:36,success,0,-1
84,17285,4937,3001,6477,49,151,357.74,2026-01-27 12:52:08,success,0,-1
85,9533,323,1932,4508,59,81,1389.96,2026-02-15 20:57:05,success,1,88
86,14414,2808,2044,7905,53,317,909.07,2026-03-25 19:59:40,success,0,-1
87,4905,1493,2523,5766,62,319,1690.07,2026-01-21 18:39:52,success,0,-1
88,5659,4035,2894,2758,29,51,1301.81,2026-02-06 03:59:44,success,0,-1
89,12608,4527,1771,385,95,98,711.85,2026-02-15 21:04:52,success,1,85
90,12032,1389,519,597,84,63,1108.88,2026-03-24 16:29:35,success,0,-1
91,17836,1553,210,207,43,181,241.99,2026-02-25 16:58:23,success,0,-1
92,15901,951,657,8223,7,87,255.66,2026-02-23 13:10:10,success,0,-1
93,12138,4711,869,1619,96,482,994.5,2026-03-14 02:31:44,success,0,-1
94,3050,4237,3612,4237,90,160,498.25,2026-03-04 18:50:53,success,0,-1
95,19644,2145,4923,7319,5,441,1106.74,2026-01-03 19:50:44,success,0,-1
96,4861,1104,2487,817,33,190,1138.95,2026-01-31 22:38:41,success,0,-1
97,4924,999,4513,8614,50,156,1017.83,2026-01-07 16:10:53,success,0,-1
98,2922,1916,4531,2709,78,64,316.87,2026-03-08 23:10:42,success,0,-1
99,1380,411,3221,6501,54,353,1252.14,2026-02-18 12:49:48,failed,0,-1
100,7501,3703,2957,3503,35,479,1296.12,2026-03-25 10:54:39,success,0,-1
101,16869,432,194,5220,81,401,762.46,2026-03-03 07:20:42,success,0,-1
102,17317,1168,3056,1087,91,73,4173.41,2026-02-20 08:59:16,success,0,-1
103,9819,1987,2950,3381,81,211,348.47,2026-02-21 16:47:54,success,0,-1
104,6294,3275,1192,5229,9,408,914.26,2026-03-30 08:59:02,success,0,-1
105,6930,2139,2821,4637,96,469,1080.72,2026-01-05 04:33:42,success,0,-1
106,18378,4781,4362,8966,41,478,624.0,2026-02-02 16:00:09,success,0,-1
107,1105,1863,336,9786,28,171,429.55,2026-02-13 06:33:41,success,0,-1
108,1149,2691,4337,860,20,500,473.91,2026-02-15 09:43:34,failed,0,-1
109,1293,2391,3119,7603,41,228,596.41,2026-02-05 19:55:30,failed,0,-1
110,17759,1352,66,5652,85,14,544.33,2026-01-08 04:13:29,failed,0,-1
111,1815,3051,481,9883,89,28,754.8,2026-03-05 15:26:57,success,0,-1
112,18831,4701,2974,1408,25,112,1050.06,2026-02-04 07:56:52,failed,0,-1
113,3673,955,941,1830,3,498,5831.86,2026-03-27 10:04:39,success,0,-1
114,10967,4583,4356,2736,19,45,905.81,2026-03-12 11:47:27,success,0,-1
115,19409,4138,311,5133,3,494,510.72,2026-01-05 07:16:00,success,0,-1
116,2318,3123,3947,7990,21,192,959.39,2026-02-23 15:24:13,success,0,-1
117,5629,3668,865,2556,39,363,4221.47,2026-03-16 11:10:17,success,0,-1
118,14552,3756,1688,2573,42,20,1669.41,2026-02-15 11:33:13,success,0,-1
119,16341,1712,3684,355,82,282,2365.86,2026-02-08 09:24:25,success,0,-1
120,18147,3760,1957,8116,76,87,570.67,2026-02-22 14:38:01,success,0,-1
121,389,2199,4460,6841,67,17,526.32,2026-01-19 21:43:21,success,0,-1
122,15541,2226,1444,4468,9,377,633.29,2026-01-15 09:10:45,success,0,-1
123,6437,4607,3613,4011,10,70,3523.04,2026-02-26 13:50:28,success,0,-1
124,11155,1326,4145,1035,6,64,766.98,2026-01-21 13:59:26,success,0,-1
125,18124,394,3820,6523,1,16,3510.17,2026-03-25 15:01:29,success,0,-1
126,18045,334,1509,9896,36,39,592.58,2026-02-15 09:15:40,success,0,-1
127,3701,2036,1721,404,89,215,1949.12,2026-02-18 12:26:04,success,0,-1
128,9414,238,3872,296,86,181,371.07,2026-03-16 13:24:13,success,0,-1
129,5681,4637,4063,2307,84,140,1648.71,2026-02-02 17:17:22,success,0,-1
130,12298,266,4504,7692,71,268,288.4,2026-01-08 02:50:11,success,0,-1
131,16531,3943,913,8607,19,363,1247.07,2026-03-04 19:53:01,success,0,-1
132,7831,4214,2803,9552,88,106,632.75,2026-02-16 04:33:23,success,1,9
133,2428,3645,1376,1920,49,348,2918.35,2026-01-02 15:29:49,success,0,-1
134,1287,564,1444,4980,58,109,367.53,2026-01-26 20:50:57,success,0,-1
135,1064,4727,1585,3370,50,337,1323.31,2026-02-04 04:22:36,success,0,-1
136,7329,239,1866,1886,14,155,3438.56,2026-03-24 16:05:15,success,0,-1
137,19320,1788,238,1062,75,163,1660.52,2026-03-27 18:58:40,success,0,-1
138,5035,2917,4412,9077,40,495,1666.59,2026-01-18 03:01:25,success,0,-1
139,8096,3159,3704,2626,33,455,446.26,2026-01-10 13:56:15,success,0,-1
140,13500,1700,4574,3069,79,367,1417.19,2026-03-05 11:36:06,success,0,-1
141,13158,246,1325,8424,65,451,11629.04,2026-03-12 14:40:52,success,0,-1
142,5401,4997,2822,1285,2,417,143.19,2026-02-28 04:12:58,success,0,-1
143,2543,4337,3918,8764,67,24,203.48,2026-02-04 04:31:14,success,0,-1
144,3132,3338,2476,7500,95,100,601.32,2026-03-20 00:46:40,failed,0,-1
145,4404,1664,4290,3513,15,408,344.74,2026-01-24 08:17:13,success,0,-1
146,1724,4695,2791,8163,10,96,877.64,2026-01-14 00:54:46,success,0,-1
147,9200,886,3975,3517,76,451,1058.04,2026-03-05 01:54:02,success,0,-1
148,12916,324,2921,5922,60,70,1162.52,2026-02-04 20:16:57,success,0,-1
149,13504,3979,3303,7593,4,135,640.2,2026-02-19 05:24:13,success,0,-1
150,18181,1310,2437,7309,30,408,217.79,2026-01-23 15:28:26,success,0,-1
151,5865,3763,2589,7579,91,453,1830.37,2026-03-07 05:07:40,success,0,-1
152,13096,3907,1169,9582,76,389,2052.97,2026-02-25 05:04:59,success,0,-1
153,17693,673,644,1910,7,208,1069.19,2026-03-01 12:06:56,success,0,-1
154,568,3092,3609,6523,16,431,3209.11,2026-02-18 03:53:02,success,0,-1
155,15623,2260,917,3440,1,342,1591.63,2026-03-07 08:17:40,success,0,-1
156,1764,1811,3505,1587,18,196,436.31,2026-03-09 07:56:59,success,0,-1
157,11032,2347,2671,8695,82,456,621.21,2026-02-11 13:35:59,success,0,-1
158,16615,4204,367,7427,62,92,196.03,2026-02-21 03:16:18,success,0,-1
159,6851,253,3863,5635,23,452,336.1,2026-02-15 06:35:15,success,1,3
160,11196,2503,339,8801,25,457,1289.27,2026-03-01 07:56:59,success,0,-1
161,12391,3630,4713,4524,14,315,625.81,2026-01-26 21:16:09,success,0,-1
162,11558,4583,2537,2919,49,443,136.7,2026-03-11 00:22:25,success,0,-1
163,14634,2787,1215,5191,6,58,530.61,2026-01-09 23:08:13,success,0,-1
164,17184,2737,3028,3122,13,130,758.46,2026-01-02 21:14:04,success,0,-1
165,2700,896,2043,9080,79,34,344.65,2026-02-20 02:00:44,success,0,-1
166,8318,2939,4432,1497,65,130,121.75,2026-02-17 17:44:57,success,0,-1
167,17053,4845,1700,2700,20,150,539.88,2026-02-06 23:21:06,success,0,-1
168,7628,1549,1127,1666,62,351,606.93,2026-03-01 10:07:16,success,0,-1
169,9789,2461,2320,4876,91,106,100.88,2026-03-12 10:11:09,success,0,-1
170,14844,400,2162,4282,29,155,854.97,2026-01-19 21:36:10,success,0,-1
171,18707,1407,2980,2268,24,84,562.27,2026-02-03 07:57:29,success,0,-1
172,5033,67,1554,7261,58,294,1712.72,2026-03-18 13:15:24,success,0,-1
173,19111,4411,1026,530,34,284,2178.29,2026-01-09 19:48:31,success,0,-1
174,14196,1444,4921,8474,50,259,2170.14,2026-02-17 19:42:42,success,0,-1
175,615,4671,506,7320,80,283,451.7,2026-02-27 14:11:10,success,0,-1
176,17232,4252,3321,2812,97,233,700.85,2026-02-25 19:48:01,failed,0,-1
177,5215,4195,2400,6741,54,494,867.0,2026-02-16 03:13:02,success,1,27
178,5645,1690,2912,109,3,456,205.81,2026-01-16 18:07:03,success,0,-1
179,10525,2208,1094,7370,81,14,263.8,2026-03-11 17:07:29,success,0,-1
180,11525,4169,333,8800,17,499,1182.8,2026-03-31 17:07:34,success,0,-1
181,10792,4817,2825,4851,2,458,491.36,2026-03-05 11:59:40,success,0,-1
182,1105,4956,3471,9053,38,80,327.08,2026-03-12 13:57:05,success,0,-1
183,16448,2336,4238,2410,12,488,1053.51,2026-01-31 06:51:39,success,0,-1
184,6836,2156,1869,305,16,370,557.69,2026-01-22 01:01:10,success,0,-1
185,2823,711,700,2199,58,49,1647.8,2026-01-18 21:52:16,success,0,-1
186,15168,142,2909,9387,7,181,1326.87,2026-02-16 05:31:07,success,1,43
187,12450,946,1300,8647,79,52,645.58,2026-03-18 08:00:39,success,0,-1
188,2071,4258,385,4418,29,302,720.92,2026-01-31 17:07:00,failed,0,-1
189,18852,1814,2707,1931,31,99,465.5,2026-02-02 22:34:24,success,0,-1
190,12013,2801,2838,794,82,125,762.85,2026-02-17 01:49:11,failed,0,-1
191,19934,1137,521,3985,52,30,492.96,2026-01-24 00:49:34,success,0,-1
192,13410,4161,973,6834,20,245,2534.65,2026-03-08 20:56:13,success,0,-1
193,202,3741,1824,488,48,298,717.88,2026-01-06 05:18:51,success,0,-1
194,4168,3512,4737,2584,23,231,1947.03,2026-03-26 22:41:29,success,0,-1
195,19452,4221,1088,4009,35,85,769.65,2026-02-28 16:43:54,success,0,-1
196,11193,1873,680,1499,29,44,2692.49,2026-01-08 20:02:20,success,0,-1
197,2445,4764,1978,9470,89,221,1110.47,2026-02-22 08:09:57,success,0,-1
198,8602,1611,4684,6196,17,478,803.63,2026-02-16 02:17:19,success,1,25
199,4677,4113,4439,2390,8,347,1343.12,2026-02-15 20:35:41,success,1,80
200,11883,140,2104,1428,77,351,964.38,2026-01-05 09:49:57,success,0,-1
201,4928,3787,1235,6058,32,455,324.92,2026-01-10 08:30:08,success,0,-1
202,3898,2507,2399,5669,56,61,713.65,2026-03-10 11:36:11,success,0,-1
203,12128,4681,887,3794,34,488,82.7,2026-02-25 03:49:41,failed,0,-1
204,8712,448,4441,2775,84,415,1015.14,2026-03-08 22:16:16,success,0,-1
205,741,3537,819,8370,46,21,785.56,2026-02-06 09:28:16,success,0,-1
206,1154,2759,4276,5171,53,458,535.6,2026-02-03 10:30:15,success,0,-1
207,4767,367,1625,2774,36,493,1151.87,2026-03-12 12:26:11,success,0,-1
208,11282,4061,1017,4843,58,96,3751.31,2026-02-20 19:57:45,failed,0,-1
209,6012,327,3494,1589,93,282,1671.71,2026-02-15 06:46:45,success,0,-1
210,300,801,2626,8985,31,94,748.84,2026-03-10 23:00:16,success,0,-1
211,18313,4597,2257,6856,56,282,576.22,2026-03-15 00:26:46,success,0,-1
212,13869,1977,4311,9312,77,307,600.86,2026-02-21 23:47:46,success,0,-1
213,11673,4160,1468,1819,14,232,286.74,2026-01-26 10:42:22,success,0,-1
214,4886,2731,2617,6129,21,99,1914.78,2026-01-13 19:20:57,success,0,-1
215,14165,2395,4934,6184,51,442,1730.37,2026-02-22 16:51:43,success,0,-1
216,18926,1011,1498,1328,86,210,2818.91,2026-03-27 09:27:22,success,0,-1
217,13521,639,2882,9370,44,457,3568.23,2026-01-08 04:53:25,success,0,-1
218,5915,165,2340,2063,82,51,1569.67,2026-03-14 00:23:04,success,0,-1
219,7846,155,1631,5860,99,131,386.51,2026-03-06 18:33:26,success,0,-1
220,12446,753,3167,2119,20,497,1042.01,2026-02-15 00:10:47,success,1,23
221,281,4753,215,2265,47,67,553.11,2026-02-21 09:26:27,success,0,-1
222,4426,1278,2396,7285,67,463,1829.8,2026-02-18 21:37:48,success,0,-1
223,2141,4408,3671,5638,47,316,3931.62,2026-01-02 15:10:25,success,0,-1
224,12825,1534,2651,809,44,287,1213.06,2026-01-15 23:27:19,success,0,-1
225,9177,2555,1484,2733,22,87,663.93,2026-01-06 15:37:06,success,0,-1
226,2664,2324,1044,6370,90,8,699.32,2026-01-04 22:53:44,success,0,-1
227,18826,4157,418,3672,55,261,4809.32,2026-02-05 05:54:42,success,0,-1
228,11035,4242,1774,1592,22,363,845.08,2026-02-06 20:27:30,success,0,-1
229,4976,608,3752,7827,22,159,516.26,2026-02-13 03:23:53,success,0,-1
230,18918,2082,1415,9624,100,104,675.57,2026-03-02 06:10:35,success,0,-1
231,13967,4403,929,933,48,466,2162.91,2026-02-07 05:36:33,success,0,-1
232,2598,418,4798,680,96,115,629.58,2026-02-02 20:56:03,success,0,-1
233,16532,4090,3030,5207,63,49,549.24,2026-02-08 02:45:08,success,0,-1
234,1181,1633,240,4591,90,475,177.05,2026-01-03 17:09:53,success,0,-1
235,18136,3513,4427,4713,69,147,400.43,2026-01-19 00:56:23,success,0,-1
236,7870,1531,3797,1444,33,448,102.58,2026-02-12 06:58:08,failed,0,-1
237,5870,2659,3176,2567,72,79,2369.59,2026-03-18 08:15:28,success,0,-1
238,1070,2850,1057,9688,99,387,860.98,2026-01-19 17:14:37,success,0,-1
239,18626,1176,3064,1349,86,117,351.0,2026-02-17 11:45:05,success,0,-1
240,11193,3243,1847,6343,58,452,1393.76,2026-02-03 15:54:46,success,0,-1
241,12160,485,1369,1399,65,156,3451.27,2026-03-12 02:39:57,success,0,-1
242,17008,3,3462,4286,72,406,388.37,2026-01-23 18:43:20,success,0,-1
243,10169,3342,2086,9615,51,44,245.48,2026-03-24 05:20:10,success,0,-1
244,5798,2700,4310,2128,39,469,688.2,2026-03-22 13:03:07,success,0,-1
245,15568,2955,2086,2194,31,180,1020.13,2026-01-26 02:19:35,success,0,-1
246,10604,1232,122,1419,81,426,368.06,2026-02-15 15:50:41,success,0,-1
247,4775,221,2123,8897,53,9,647.06,2026-03-23 19:40:08,success,0,-1
248,16891,3808,583,7632,20,418,1485.06,2026-01-09 00:59:57,success,0,-1
249,16252,1435,318,1574,64,344,200.77,2026-01-28 22:54:08,success,0,-1
250,4946,1688,1844,1353,30,356,1296.49,2026-02-10 14:35:24,success,0,-1
251,13000,4365,470,317,23,163,1928.93,2026-01-15 18:36:12,success,0,-1
252,18419,4579,2501,1702,2,416,2091.48,2026-01-04 01:59:47,success,0,-1
253,15988,1793,3807,290,36,212,537.57,2026-03-27 22:22:00,success,0,-1
254,3976,1987,4852,6888,95,135,1989.35,2026-01-19 16:30:47,success,0,-1
255,17115,4873,1197,6337,73,402,466.57,2026-01-25 04:05:17,success,0,-1
256,1128,1753,2745,8569,38,424,507.46,2026-01-31 00:03:14,success,0,-1
257,12347,2823,1064,5425,21,51,640.26,2026-03-05 08:23:16,success,0,-1
258,10229,673,2841,3067,4,12,848.11,2026-02-04 02:46:44,success,0,-1
259,735,4372,3545,8767,88,269,2241.34,2026-03-12 17:52:31,success,0,-1
260,14521,875,4318,6096,35,459,1686.58,2026-01-12 06:42:54,success,0,-1
261,5955,1572,1162,3606,33,440,380.38,2026-01-04 15:15:13,success,0,-1
262,17046,3371,2672,7270,46,440,542.05,2026-03-06 01:17:29,failed,0,-1
263,17561,4305,2366,915,20,425,1230.94,2026-02-20 18:02:28,success,0,-1
264,11810,2858,1279,7028,87,226,3378.44,2026-01-28 01:42:14,success,0,-1
265,12540,4272,534,1779,1,470,1387.36,2026-02-04 16:39:38,success,0,-1
266,1042,2751,1020,5261,38,423,322.04,2026-01-18 12:56:57,success,0,-1
267,17802,2378,3695,4650,46,279,412.32,2026-02-11 15:21:39,success,0,-1
268,13632,666,2438,1059,16,135,511.72,2026-02-26 21:36:12,success,0,-1
269,7691,1829,3490,2120,30,452,1916.93,2026-02-24 04:35:21,success,0,-1
270,15720,2035,4115,7365,51,364,1154.11,2026-02-15 21:15:00,success,1,55
271,15984,4873,1093,2446,39,375,1453.92,2026-02-16 03:39:13,success,1,30
272,18017,2191,1252,2150,54,449,447.77,2026-03-05 08:07:48,success,0,-1
273,17252,4706,3061,1119,68,317,925.08,2026-01-03 11:42:19,success,0,-1
274,1973,4767,2101,1087,84,240,3784.75,2026-01-09 10:21:42,success,0,-1
275,15241,2883,3711,6333,44,491,1605.29,2026-03-30 16:52:51,success,0,-1
276,1637,2103,1492,9214,36,101,448.97,2026-01-21 02:19:21,success,0,-1
277,7551,1752,2662,4847,77,307,1201.02,2026-01-04 07:04:55,success,0,-1
278,8944,4519,2547,4082,57,31,1921.64,2026-01-06 04:27:36,success,0,-1
279,453,1849,1867,7743,5,490,6416.63,2026-01-05 20:10:31,success,0,-1
280,2746,4838,4599,1313,3,268,306.04,2026-03-08 07:22:08,success,0,-1
281,17607,2277,3406,1767,9,89,756.41,2026-01-29 04:02:20,success,0,-1
282,12589,556,2273,9436,83,474,820.22,2026-01-22 03:56:48,success,0,-1
283,15728,2019,2153,4832,83,35,1872.2,2026-03-22 02:44:56,success,0,-1
284,11429,4623,952,1370,75,239,870.98,2026-01-12 12:21:00,success,0,-1
285,8984,1942,3062,3861,95,261,1634.46,2026-03-23 22:48:17,success,0,-1
286,365,3608,2172,9813,55,63,1625.06,2026-01-27 12:41:00,success,0,-1
287,10925,4969,3606,7888,38,134,834.3,2026-01-06 23:23:28,success,0,-1
288,15412,476,3407,1040,92,267,3580.14,2026-03-31 23:51:19,success,0,-1
289,4087,4431,1214,4081,95,297,260.08,2026-01-06 05:51:33,success,0,-1
290,17011,4784,461,3479,11,306,511.43,2026-02-15 18:59:42,success,1,19
291,8243,3293,4498,6081,72,1,1475.48,2026-03-11 16:57:04,success,0,-1
292,17419,2467,3203,9139,23,95,718.55,2026-02-24 15:23:27,success,0,-1
293,3264,3424,3080,4338,59,215,651.01,2026-03-12 10:57:23,success,0,-1
294,2107,699,2897,1174,69,73,1388.46,2026-01-03 15:36:32,failed,0,-1
295,4212,4646,3623,627,5,184,890.73,2026-03-25 02:18:53,success,0,-1
296,3125,1191,2309,8391,19,450,139.45,2026-02-02 05:58:56,success,0,-1
297,16928,764,821,5433,29,458,1917.58,2026-01-23 14:47:18,failed,0,-1
298,5212,3542,2781,2393,66,396,1129.15,2026-01-15 07:42:03,success,0,-1
299,7250,385,377,8896,23,371,715.62,2026-03-01 20:21:06,success,0,-1
300,5144,1596,4101,9599,25,157,879.21,2026-01-05 17:53:28,success,0,-1
301,11555,4197,3804,2547,4,33,430.44,2026-02-15 02:03:40,success,1,37
302,13282,4760,1531,933,26,399,189.21,2026-01-23 11:23:50,success,0,-1
303,9478,1264,1488,8446,53,265,2531.61,2026-02-13 22:57:49,success,0,-1
304,15979,4102,3674,8116,73,465,1657.41,2026-03-12 05:31:30,success,0,-1
305,1416,2905,2805,475,20,93,2272.72,2026-02-13 06:52:13,success,0,-1
306,13570,2770,3617,9821,35,262,558.6,2026-01-15 19:32:58,success,0,-1
307,7231,3435,1784,6864,13,25,527.94,2026-03-09 06:14:28,success,0,-1
308,7585,3129,3599,1757,49,54,614.47,2026-02-21 09:43:29,success,0,-1
309,3166,1296,3176,5720,1,3,607.2,2026-03-12 11:28:27,success,0,-1
310,1942,4595,2944,5666,100,281,606.02,2026-03-02 00:22:07,success,0,-1
311,13872,183,3300,1107,60,20,1089.22,2026-02-27 19:59:46,success,0,-1
312,6205,882,788,3111,3,67,240.38,2026-02-16 07:33:16,success,1,45
313,18228,1522,1077,1540,11,402,915.11,2026-01-16 21:55:35,success,0,-1
314,4872,4046,4652,741,41,7,1370.79,2026-02-04 22:35:46,success,0,-1
315,15262,2422,4226,7108,25,358,912.48,2026-03-25 02:02:54,success,0,-1
316,2225,2244,4915,6650,21,104,642.63,2026-01-03 06:39:22,success,0,-1
317,15569,70,2893,4014,89,451,800.82,2026-02-09 13:02:09,failed,0,-1
318,11324,4357,4462,7905,86,317,276.92,2026-01-15 23:44:38,success,0,-1
319,12485,617,1771,385,27,98,850.42,2026-02-15 22:57:50,success,1,85
320,1352,327,4583,2715,74,195,736.39,2026-02-25 14:41:36,success,0,-1
321,15534,1332,2631,9793,7,233,414.53,2026-01-16 15:51:11,success,0,-1
322,9342,3590,4330,2260,73,2,614.18,2026-02-21 12:39:24,success,0,-1
323,11372,107,4568,4600,8,304,815.02,2026-01-29 13:47:36,success,0,-1
324,10779,4043,1154,9497,71,13,167.91,2026-03-04 15:16:13,success,0,-1
325,14286,2305,4018,541,83,125,2951.64,2026-01-18 03:39:47,success,0,-1
326,11981,3067,816,6986,97,480,436.84,2026-02-13 21:44:46,success,0,-1
327,8320,3723,3225,9555,85,187,97.85,2026-01-20 12:26:05,success,0,-1
328,603,3885,3905,5071,64,225,1410.32,2026-02-15 04:19:29,success,1,75
329,1416,2653,3511,1997,6,468,269.37,2026-02-18 04:56:46,success,0,-1
330,14485,740,458,7461,34,263,145.25,2026-03-05 07:06:19,success,0,-1
331,14112,2521,2785,9367,44,363,573.84,2026-03-25 13:59:05,success,0,-1
